"relevance"	"synsetid"	"queryexpansion"
0.083370561	"n01440764"	"slimy tench"
0.0733272979	"n01440764"	"large tench"
0.0683052919	"n01440764"	"good tench"
0.0679075746	"n01440764"	"small tench"
0.0595426499	"n01440764"	"many tench"
0.0593500646	"n01440764"	"tench was found"
0.0536493466	"n01440764"	"common tench"
0.0526545803	"n01440764"	"young tench"
0.0517205967	"n01440764"	"golden tench"
0.0505638906	"n01440764"	"fine tench"
0.0505136258	"n01440764"	"few tench"
0.0403551264	"n01440764"	"F tench"
0	"n01440764"	"tench Tinca tinca"
0.1848991379	"n01443537"	"goldfish in the aquarium"
0.1812142858	"n01443537"	"goldfish in the water"
0.1733833158	"n01443537"	"goldfish in the pond"
0.1715186899	"n01443537"	"goldfish in the basin"
0.163614563	"n01443537"	"goldfish in the pool"
0.1584962692	"n01443537"	"goldfish in the garden"
0.1547946532	"n01443537"	"goldfish in the little"
0.1547592214	"n01443537"	"goldfish in the fountain"
0.1538570943	"n01443537"	"goldfish in the bowl"
0.1432703971	"n01443537"	"goldfish in the room"
0.1341523103	"n01443537"	"small goldfish"
0.1324880053	"n01443537"	"common goldfish"
0.125852682	"n01443537"	"large goldfish"
0.1249596944	"n01443537"	"goldfish is swimming"
0.1195535136	"n01443537"	"pet goldfish"
0.1195535136	"n01443537"	"pet goldfish"
0.11481288	"n01443537"	"goldfish was swimming"
0.1118320757	"n01443537"	"adult goldfish"
0.1087112039	"n01443537"	"live goldfish"
0.1062246379	"n01443537"	"little goldfish"
0.1008446484	"n01443537"	"feeder goldfish"
0.1008331212	"n01443537"	"Farm goldfish"
0.0995329361	"n01443537"	"fantail goldfish"
0.0942888124	"n01443537"	"baby goldfish"
0.0889402726	"n01443537"	"family goldfish"
0.088228092	"n01443537"	"fish Carassius auratus"
0.0775340851	"n01443537"	"fancy goldfish"
0.07515137	"n01443537"	"class goldfish"
0.0749990152	"n01443537"	"young goldfish"
0.0712916948	"n01443537"	"dozen goldfish"
0.0682169692	"n01443537"	"Goldfish Carassius auratus"
0.0676029084	"n01443537"	"prize goldfish"
0.065445309	"n01443537"	"Japanese goldfish"
0.0644009345	"n01443537"	"comet goldfish"
0.0574534652	"n01443537"	"carp Carassius auratus"
0	"n01443537"	"goldfish Carassius auratus"
0.1427939156	"n01484850"	"large white shark"
0.1412441824	"n01484850"	"Great white shark"
0.1412441824	"n01484850"	"great white shark"
0.1407889509	"n01484850"	"huge white shark"
0.1405144188	"n01484850"	"big white shark"
0.1378617229	"n01484850"	"giant white shark"
0.1315768644	"n01484850"	"foot white shark"
0.1116577784	"n01484850"	"shark Carcharodon carcharias"
0	"n01484850"	
0	"n01484850"	
0	"n01484850"	
0.166403908	"n01491361"	"large tiger shark"
0.1623585636	"n01491361"	"small tiger shark"
0.1608530898	"n01491361"	"female tiger shark"
0.1586262303	"n01491361"	"big tiger shark"
0.156552298	"n01491361"	"huge tiger shark"
0.1560704202	"n01491361"	"foot tiger shark"
0.1539028437	"n01491361"	"Sand tiger shark"
0.1539028437	"n01491361"	"sand tiger shark"
0.1529822247	"n01491361"	"pound tiger shark"
0.0723661743	"n01491361"	"shark Galeocerdo cuvieri"
0.1037439356	"n01494475"	"small hammerhead shark"
0.1020779786	"n01494475"	"large hammerhead shark"
0.1010859738	"n01494475"	"big hammerhead shark"
0.0988257752	"n01494475"	"Great hammerhead shark"
0.0988257752	"n01494475"	"great hammerhead shark"
0.0967555471	"n01494475"	"huge hammerhead shark"
0.0914239091	"n01494475"	"small hammerhead"
0.0880919952	"n01494475"	"large hammerhead"
0.0873017357	"n01494475"	"foot hammerhead shark"
0.0861079854	"n01494475"	"big hammerhead"
0.0815875883	"n01494475"	"great hammerhead"
0.0805511803	"n01494475"	"scalloped hammerhead shark"
0.0805511803	"n01494475"	"Scalloped hammerhead shark"
0.079251107	"n01494475"	"smooth hammerhead shark"
0.0774471321	"n01494475"	"huge hammerhead"
0.0652586318	"n01494475"	"baby hammerhead"
0.0599454751	"n01494475"	"old hammerhead"
0.0585395094	"n01494475"	"foot hammerhead"
0.0450383984	"n01494475"	"Scalloped hammerhead"
0.0450383984	"n01494475"	"scalloped hammerhead"
0.0424382518	"n01494475"	"smooth hammerhead"
0.041812596	"n01494475"	"iron hammerhead"
0.1422620039	"n01496331"	"torpedo in the same"
0.1389695605	"n01496331"	"torpedo in the water"
0.1339852243	"n01496331"	"torpedo in the tube"
0.1322709179	"n01496331"	"torpedo in the world"
0.131221905	"n01496331"	"torpedo in the stern"
0.1307715881	"n01496331"	"torpedo in the waters"
0.130745827	"n01496331"	"torpedo in the North"
0.1241510961	"n01496331"	"torpedo in the channel"
0.1110611615	"n01496331"	"torpedo in the Thames"
0.1110611615	"n01496331"	"torpedo in the Yazoo"
0.1012693361	"n01496331"	"large electric ray"
0.0958096742	"n01496331"	"lesser electric ray"
0.0947093991	"n01496331"	"fish torpedo"
0.0938864773	"n01496331"	"single torpedo"
0.0937393384	"n01496331"	"small torpedo"
0.0894159359	"n01496331"	"second torpedo"
0.0878636973	"n01496331"	"first torpedo"
0.0877143754	"n01496331"	"Pacific electric ray"
0.08397442	"n01496331"	"torpedo is used"
0.0832313868	"n01496331"	"torpedo is placed"
0.0795256362	"n01496331"	"torpedo was placed"
0.0793412607	"n01496331"	"torpedo is propelled"
0.0771061451	"n01496331"	"torpedo is said"
0.0745603945	"n01496331"	"torpedo is exploded"
0.0733435159	"n01496331"	"torpedo is made"
0.072219569	"n01496331"	"Motor torpedo"
0.072219569	"n01496331"	"motor torpedo"
0.0716302016	"n01496331"	"enemy torpedo"
0.0708546439	"n01496331"	"torpedo was exploded"
0.0706428981	"n01496331"	"torpedo is fired"
0.0700866573	"n01496331"	"torpedo was carried"
0.0696377653	"n01496331"	"torpedo was made"
0.068702658	"n01496331"	"torpedo was seen"
0.0677252105	"n01496331"	"automobile torpedo"
0.0676119657	"n01496331"	"torpedo is released"
0.0669371475	"n01496331"	"torpedo was fired"
0.0659657403	"n01496331"	"torpedo was sighted"
0.0647164413	"n01496331"	"torpedo is discharged"
0.062001088	"n01496331"	"torpedo is launched"
0.0610106907	"n01496331"	"torpedo was discharged"
0.060292299	"n01496331"	"submarine torpedo"
0.0597481849	"n01496331"	"torpedo was invented"
0.0596798101	"n01496331"	"night torpedo"
0.0589219185	"n01496331"	"homing torpedo"
0.0582953374	"n01496331"	"torpedo was launched"
0.0574274755	"n01496331"	"bow torpedo"
