n02268443	dragonfly	[lemma] is *_VERB: 	[lemma] was *_VERB: 	*_NOUN [lemma]: darner dragonfly, emerald dragonfly, adult dragonfly, zone dragonfly, skimmer dragonfly, hawker dragonfly	[lemma] *: dragonfly in, dragonfly nymph, dragonfly or, dragonfly &#39;s, dragonfly larva, dragonfly and, dragonfly larvae, dragonfly is, dragonfly with, dragonfly nymphs	[lemma] in the *: 	* [lemma]: A dragonfly, the dragonfly, blue dragonfly, The dragonfly, a dragonfly, in dragonfly, large dragonfly, of dragonfly, adult dragonfly, and dragonfly	*_ADJ [lemma]: blue dragonfly, giant dragonfly, red dragonfly, small dragonfly, male dragonfly, large dragonfly, green dragonfly, adult dragonfly, winged dragonfly, young dragonfly
n02268443	darning needle	[lemma] is *_VERB: 	[lemma] was *_VERB: 	*_NOUN [lemma]: stout darning needle, steel darning needle	[lemma] *: darning needle or, darning needle in, darning needle through, darning needle at, darning needle is, darning needle with, darning needle into, darning needle and, darning needle to, darning needle for	[lemma] in the *: 	* [lemma]: or darning needle, ordinary darning needle, small darning needle, large darning needle, &#39;s darning needle, the darning needle, her darning needle, long darning needle, A darning needle, a darning needle	*_ADJ [lemma]: thick darning needle, fine darning needle, common darning needle, ordinary darning needle, hot darning needle, large darning needle, small darning needle, big darning needle, long darning needle, heavy darning needle
n02268443	devil  s darning needle	[lemma] is *_VERB: 	[lemma] was *_VERB: 	*_NOUN [lemma]: 	[lemma] *: 	[lemma] in the *: 	* [lemma]: 	*_ADJ [lemma]: 
n02268443	sewing needle	[lemma] is *_VERB: 	[lemma] was *_VERB: 	*_NOUN [lemma]: steel sewing needle, hand sewing needle	[lemma] *: sewing needle in, sewing needle was, sewing needle or, sewing needle with, sewing needle and, sewing needle may, sewing needle to, sewing needle into, sewing needle of, sewing needle is	[lemma] in the *: 	* [lemma]: small sewing needle, magnetized sewing needle, common sewing needle, steel sewing needle, large sewing needle, fine sewing needle, a sewing needle, A sewing needle, ordinary sewing needle, the sewing needle	*_ADJ [lemma]: small sewing needle, clean sewing needle, common sewing needle, slender sewing needle, fine sewing needle, round sewing needle, coarse sewing needle, long sewing needle, large sewing needle, ordinary sewing needle
n02268443	snake feeder	[lemma] is *_VERB: 	[lemma] was *_VERB: 	*_NOUN [lemma]: 	[lemma] *: 	[lemma] in the *: 	* [lemma]: and snake feeder, a snake feeder, _ snake feeder	*_ADJ [lemma]: 
n02268443	snake doctor	[lemma] is *_VERB: 	[lemma] was *_VERB: 	*_NOUN [lemma]: 	[lemma] *: snake doctor or, snake doctor &#39;s	[lemma] in the *: 	* [lemma]: A snake doctor, a snake doctor, and snake doctor, the snake doctor	*_ADJ [lemma]: 
n02268443	mosquito hawk	[lemma] is *_VERB: 	[lemma] was *_VERB: 	*_NOUN [lemma]: 	[lemma] *: 	[lemma] in the *: 	* [lemma]: _ mosquito hawk, a mosquito hawk, the mosquito hawk, and mosquito hawk, or mosquito hawk	*_ADJ [lemma]: 
n02268443	skeeter hawk	[lemma] is *_VERB: 	[lemma] was *_VERB: 	*_NOUN [lemma]: 	[lemma] *: 	[lemma] in the *: 	* [lemma]: 	*_ADJ [lemma]: 
n03977966	police van	[lemma] is *_VERB: 	[lemma] was *_VERB: 	*_NOUN [lemma]: 	[lemma] *: police van was, police van with, police van at, police van in, police van arrived, police van to, police van and, police van came, police van had, police van which	[lemma] in the *: 	* [lemma]: the police van, blue police van, closed police van, The police van, waiting police van, by police van, black police van, large police van, A police van, a police van	*_ADJ [lemma]: big police van, blue police van, black police van, unmarked police van, closed police van, yellow police van, white police van, small police van, green police van, large police van
n03977966	police wagon	[lemma] is *_VERB: 	[lemma] was *_VERB: 	*_NOUN [lemma]: 	[lemma] *: police wagon came, police wagon and, police wagon as, police wagon for, police wagon had, police wagon to, police wagon with, police wagon arrived, police wagon drove, police wagon was	[lemma] in the *: 	* [lemma]: a police wagon, black police wagon, A police wagon, the police wagon, waiting police wagon, The police wagon	*_ADJ [lemma]: black police wagon
n03977966	paddy wagon	[lemma] is *_VERB: 	[lemma] was *_VERB: 	*_NOUN [lemma]: police paddy wagon	[lemma] *: paddy wagon had, paddy wagon in, paddy wagon for, paddy wagon that, paddy wagon or, paddy wagon and, paddy wagon with, paddy wagon was, paddy wagon pulled, paddy wagon to	[lemma] in the *: 	* [lemma]: waiting paddy wagon, A paddy wagon, same paddy wagon, a paddy wagon, black paddy wagon, the paddy wagon, police paddy wagon, their paddy wagon, The paddy wagon, that paddy wagon	*_ADJ [lemma]: same paddy wagon, drawn paddy wagon, white paddy wagon, black paddy wagon
n03977966	patrol wagon	[lemma] is *_VERB: 	[lemma] was *_VERB: 	*_NOUN [lemma]: police patrol wagon	[lemma] *: patrol wagon came, patrol wagon and, patrol wagon in, patrol wagon is, patrol wagon had, patrol wagon to, patrol wagon with, patrol wagon arrived, patrol wagon on, patrol wagon was	[lemma] in the *: 	* [lemma]: a patrol wagon, no patrol wagon, _ patrol wagon, A patrol wagon, the patrol wagon, police patrol wagon, first patrol wagon, and patrol wagon, waiting patrol wagon, The patrol wagon	*_ADJ [lemma]: drawn patrol wagon, first patrol wagon
n03977966	wagon	[lemma] is *_VERB: wagon is going, wagon is drawn, wagon is loaded, wagon is coming, wagon is moving, wagon is brought, wagon is driven	[lemma] was *_VERB: wagon was loaded, wagon was driven, wagon was drawn, wagon was going, wagon was standing	*_NOUN [lemma]: lumber wagon, band wagon, chuck wagon, milk wagon, tank wagon, delivery wagon, station wagon, farm wagon, spring wagon, patrol wagon	[lemma] *: wagon for, wagon in, wagon trains, wagon and, wagon train, wagon was, wagon with, wagon to, wagon or, wagon road	[lemma] in the *: wagon in the yard, wagon in the rear, wagon in the country, wagon in the morning, wagon in the place, wagon in the street, wagon in the train, wagon in the road	* [lemma]: and wagon, of wagon, &#39;s wagon, The wagon, his wagon, a wagon, by wagon, the wagon, station wagon, covered wagon	*_ADJ [lemma]: horse wagon, good wagon, old wagon, loaded wagon, covered wagon, heavy wagon, little wagon, light wagon, express wagon, first wagon
n03977966	black Maria	[lemma] is *_VERB: 	[lemma] was *_VERB: 	*_NOUN [lemma]: 	[lemma] *: 	[lemma] in the *: 	* [lemma]: the black Maria, a black Maria	*_ADJ [lemma]: 
n02747177	ashcan	[lemma] is *_VERB: 	[lemma] was *_VERB: 	*_NOUN [lemma]: 	[lemma] *: ashcan in, ashcan by, ashcan with, ashcan or, ashcan school, ashcan on, ashcan and, ashcan to, ashcan of, ashcan is	[lemma] in the *: 	* [lemma]: nearest ashcan, _ ashcan, an ashcan, the ashcan, &#39;s ashcan, and ashcan, The ashcan, of ashcan	*_ADJ [lemma]: nearest ashcan
