n02268443	dragonfly	[lemma] was *_VERB: 	[lemma] is *_VERB: dragonfly is called, dragonfly is shown	*_ADJ [lemma]: adult dragonfly, blue dragonfly, giant dragonfly, green dragonfly, large dragonfly, male dragonfly, red dragonfly, small dragonfly, winged dragonfly, young dragonfly	[lemma] in the *: 	*_NOUN [lemma]: adult dragonfly, darner dragonfly, emerald dragonfly, hawker dragonfly, skimmer dragonfly, zone dragonfly
n02268443	darning needle	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: big darning needle, common darning needle, fine darning needle, heavy darning needle, hot darning needle, large darning needle, long darning needle, ordinary darning needle, small darning needle, thick darning needle	[lemma] in the *: darning needle in the other	*_NOUN [lemma]: steel darning needle, stout darning needle
n02268443	devil  s darning needle	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: 	[lemma] in the *: 	*_NOUN [lemma]: 
n02268443	sewing needle	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: clean sewing needle, coarse sewing needle, common sewing needle, fine sewing needle, large sewing needle, long sewing needle, ordinary sewing needle, round sewing needle, slender sewing needle, small sewing needle	[lemma] in the *: 	*_NOUN [lemma]: hand sewing needle, steel sewing needle
n02268443	snake feeder	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: 	[lemma] in the *: 	*_NOUN [lemma]: 
n02268443	snake doctor	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: 	[lemma] in the *: 	*_NOUN [lemma]: 
n02268443	mosquito hawk	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: 	[lemma] in the *: 	*_NOUN [lemma]: 
n02268443	skeeter hawk	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: 	[lemma] in the *: 	*_NOUN [lemma]: 
n03977966	police van	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: big police van, black police van, blue police van, closed police van, green police van, large police van, small police van, unmarked police van, white police van, yellow police van	[lemma] in the *: 	*_NOUN [lemma]: 
n03977966	police wagon	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: black police wagon	[lemma] in the *: 	*_NOUN [lemma]: 
n03977966	paddy wagon	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: black paddy wagon, drawn paddy wagon, same paddy wagon, white paddy wagon	[lemma] in the *: 	*_NOUN [lemma]: police paddy wagon
n03977966	patrol wagon	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: drawn patrol wagon, first patrol wagon	[lemma] in the *: 	*_NOUN [lemma]: police patrol wagon
n03977966	wagon	[lemma] was *_VERB: wagon was being, wagon was brought, wagon was drawn, wagon was driven, wagon was filled, wagon was going, wagon was loaded, wagon was seen, wagon was standing, wagon was used	[lemma] is *_VERB: wagon is being, wagon is brought, wagon is coming, wagon is drawn, wagon is driven, wagon is going, wagon is loaded, wagon is made, wagon is moving, wagon is used	*_ADJ [lemma]: covered wagon, express wagon, first wagon, good wagon, heavy wagon, horse wagon, light wagon, little wagon, loaded wagon, old wagon	[lemma] in the *: wagon in the country, wagon in the middle, wagon in the morning, wagon in the place, wagon in the rear, wagon in the road, wagon in the same, wagon in the street, wagon in the train, wagon in the yard	*_NOUN [lemma]: band wagon, chuck wagon, delivery wagon, farm wagon, lumber wagon, milk wagon, patrol wagon, spring wagon, station wagon, tank wagon
n03977966	black Maria	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: 	[lemma] in the *: 	*_NOUN [lemma]: 
n02747177	ashcan	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: nearest ashcan	[lemma] in the *: 	*_NOUN [lemma]: 
n02747177	trash can	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: big trash can, empty trash can, freedom trash can, large trash can, metal trash can, nearby trash can, nearest trash can, overflowing trash can, plastic trash can, such trash can	[lemma] in the *: trash can in the alley, trash can in the bathroom, trash can in the corner, trash can in the garage, trash can in the kitchen, trash can in the middle	*_NOUN [lemma]: Macintosh trash can, aluminum trash can, bathroom trash can, city trash can, corner trash can, household trash can, kitchen trash can, steel trash can, tin trash can, wire trash can
n02747177	garbage can	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: big garbage can, empty garbage can, human garbage can, large garbage can, metal garbage can, nearest garbage can, old garbage can, open garbage can, plastic garbage can, small garbage can	[lemma] in the *: garbage can in the alley, garbage can in the back, garbage can in the corner, garbage can in the garage, garbage can in the kitchen, garbage can in the middle	*_NOUN [lemma]: aluminum garbage can, city garbage can, family garbage can, gallon garbage can, household garbage can, iron garbage can, kitchen garbage can, steel garbage can, tin garbage can, wire garbage can
n02747177	wastebin	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: 	[lemma] in the *: 	*_NOUN [lemma]: 
n02747177	ash bin	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: 	[lemma] in the *: 	*_NOUN [lemma]: 
n02747177	ash-bin	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: 	[lemma] in the *: 	*_NOUN [lemma]: 
n02747177	ashbin	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: 	[lemma] in the *: 	*_NOUN [lemma]: 
n02747177	dustbin	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: domestic dustbin, historical dustbin, large dustbin, metal dustbin, new dustbin, old dustbin, ordinary dustbin, own dustbin, plastic dustbin, sanitary dustbin	[lemma] in the *: 	*_NOUN [lemma]: household dustbin, iron dustbin
n02747177	trash barrel	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: big trash barrel, green trash barrel, large trash barrel, metal trash barrel, nearby trash barrel, nearest trash barrel, overflowing trash barrel, plastic trash barrel	[lemma] in the *: 	*_NOUN [lemma]: 
n02747177	trash bin	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: big trash bin, huge trash bin, large trash bin, metal trash bin, nearby trash bin, nearest trash bin, overflowing trash bin, plastic trash bin	[lemma] in the *: 	*_NOUN [lemma]: kitchen trash bin, wire trash bin
n02814533	beach wagon	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: 	[lemma] in the *: 	*_NOUN [lemma]: 
n02814533	station wagon	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: Buick station wagon, battered station wagon, big station wagon, blue station wagon, compact station wagon, green station wagon, new station wagon, old station wagon, red station wagon, white station wagon	[lemma] in the *: station wagon in the drive, station wagon in the driveway, station wagon in the garage, station wagon in the middle, station wagon in the parking	*_NOUN [lemma]: Chevrolet station wagon, Chevy station wagon, Ford station wagon, Mercury station wagon, Plymouth station wagon, Pontiac station wagon, Rambler station wagon, Volvo station wagon, family station wagon, jeep station wagon
n02814533	wagon	[lemma] was *_VERB: wagon was being, wagon was brought, wagon was drawn, wagon was driven, wagon was filled, wagon was going, wagon was loaded, wagon was seen, wagon was standing, wagon was used	[lemma] is *_VERB: wagon is being, wagon is brought, wagon is coming, wagon is drawn, wagon is driven, wagon is going, wagon is loaded, wagon is made, wagon is moving, wagon is used	*_ADJ [lemma]: covered wagon, express wagon, first wagon, good wagon, heavy wagon, horse wagon, light wagon, little wagon, loaded wagon, old wagon	[lemma] in the *: wagon in the country, wagon in the middle, wagon in the morning, wagon in the place, wagon in the rear, wagon in the road, wagon in the same, wagon in the street, wagon in the train, wagon in the yard	*_NOUN [lemma]: band wagon, chuck wagon, delivery wagon, farm wagon, lumber wagon, milk wagon, patrol wagon, spring wagon, station wagon, tank wagon
n02814533	estate car	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: battered estate car, big estate car, blue estate car, green estate car, large estate car, old estate car, small estate car	[lemma] in the *: 	*_NOUN [lemma]: Ford estate car, Peugeot estate car, Volvo estate car, family estate car
n02814533	beach waggon	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: 	[lemma] in the *: 	*_NOUN [lemma]: 
n02814533	station waggon	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: 	[lemma] in the *: 	*_NOUN [lemma]: 
n02814533	waggon	[lemma] was *_VERB: waggon was broken, waggon was brought, waggon was covered, waggon was drawn, waggon was loaded, waggon was overturned, waggon was passing, waggon was seen, waggon was standing, waggon was upset	[lemma] is *_VERB: waggon is being, waggon is called, waggon is drawn, waggon is going, waggon is gone, waggon is loaded, waggon is made, waggon is prepar&#39;d, waggon is put, waggon is sent	*_ADJ [lemma]: covered waggon, empty waggon, first waggon, heavy waggon, large waggon, light waggon, loaded waggon, old waggon, such waggon, wheeled waggon	[lemma] in the *: waggon in the afternoon, waggon in the distance, waggon in the highway, waggon in the middle, waggon in the road, waggon in the same, waggon in the street, waggon in the yard	*_NOUN [lemma]: ambulance waggon, ammunition waggon, baggage waggon, farm waggon, horse waggon, ox waggon, railway waggon, spring waggon, stage waggon, travelling waggon
n04467665	trailer truck	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: big trailer truck, flatbed trailer truck, foot trailer truck, huge trailer truck, large trailer truck, ton trailer truck	[lemma] in the *: 	*_NOUN [lemma]: tractor trailer truck, wheel trailer truck
n04467665	tractor trailer	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: big tractor trailer, double tractor trailer, foot tractor trailer, huge tractor trailer, jackknifed tractor trailer, large tractor trailer, overturned tractor trailer, semi tractor trailer	[lemma] in the *: 	*_NOUN [lemma]: wheel tractor trailer
n04467665	trucking rig	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: 	[lemma] in the *: 	*_NOUN [lemma]: 
n04467665	rig	[lemma] was *_VERB: rig was altered, rig was being, rig was built, rig was changed, rig was designed, rig was developed, rig was made, rig was moved, rig was set, rig was used	[lemma] is *_VERB: rig is being, rig is designed, rig is equipped, rig is made, rig is mounted, rig is moved, rig is required, rig is set, rig is shown, rig is used	*_ADJ [lemma]: aft rig, full rig, lateen rig, new rig, rotary rig, same rig, schooner rig, square rig, standard rig, whole rig	[lemma] in the *: rig in the Gulf, rig in the North, rig in the area, rig in the bowsprit, rig in the chimney, rig in the hope, rig in the middle, rig in the same, rig in the water, rig in the world	*_NOUN [lemma]: cutter rig, drill rig, drilling rig, head rig, jury rig, livery rig, oil rig, sloop rig, spray rig, test rig
n04467665	articulated lorry	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: huge articulated lorry, large articulated lorry	[lemma] in the *: 	*_NOUN [lemma]: 
n04467665	semi	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: apparent semi, great semi, large semi, least semi, many semi, only semi, other semi, payable semi, small semi, such semi	[lemma] in the *: semi in the suburbs	*_NOUN [lemma]: Shell semi, centrum semi, feet semi, interest semi, iron semi, others semi, part semi, something semi, term semi, time semi
n01984695	spiny lobster	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: Caribbean spiny lobster, Hawaiian spiny lobster, Indian spiny lobster, Japanese spiny lobster, juvenile spiny lobster, large spiny lobster, local spiny lobster	[lemma] in the *: 	*_NOUN [lemma]: Bermuda spiny lobster, California spiny lobster, Florida spiny lobster
n01984695	langouste	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: French langouste, cold langouste, de langouste, local langouste	[lemma] in the *: 	*_NOUN [lemma]: 
n01984695	rock lobster	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: African rock lobster, Australian rock lobster, Western rock lobster, female rock lobster, frozen rock lobster, red rock lobster, southern rock lobster, spiny rock lobster, tropical rock lobster, western rock lobster	[lemma] in the *: 	*_NOUN [lemma]: Cape rock lobster, Zealand rock lobster, coast rock lobster
